Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA_HOME_TESTSUITE,Chrome 120.0.0.0,,,02-02-2024 18:50:14,02-02-2024 18:50:58,44.159s,PASSED
,,,,,,,
Test Cases/TC_CURA_HOME/CURA_HOME_VERIFYHOMEPAGETEXT,Chrome 120.0.0.0,,,02-02-2024 18:50:34,02-02-2024 18:50:50,16.058s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,02-02-2024 18:50:34,02-02-2024 18:50:35,0.496s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Cura_Pages/CURA_HOME_OR/CURA_HOME_VERIFYHOMEPAGETEXT_OR/Page_CURA Healthcare Service/h1_CURA Healthcare Service""), 0)",Chrome 120.0.0.0,,,02-02-2024 18:50:35,02-02-2024 18:50:36,0.662s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Cura_Pages/CURA_HOME_OR/CURA_HOME_VERIFYHOMEPAGETEXT_OR/Page_CURA Healthcare Service/h3_We Care About Your Health""), 0)",Chrome 120.0.0.0,,,02-02-2024 18:50:36,02-02-2024 18:50:36,0.485s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Cura_Pages/CURA_HOME_OR/CURA_HOME_VERIFYHOMEPAGETEXT_OR/Page_CURA Healthcare Service/h4_CURA Healthcare Service""), 0)",Chrome 120.0.0.0,,,02-02-2024 18:50:36,02-02-2024 18:50:37,0.572s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Cura_Pages/CURA_HOME_OR/CURA_HOME_VERIFYHOMEPAGETEXT_OR/Page_CURA Healthcare Service/div_CURA Healthcare Service        We Care _b17f12""), 0)",Chrome 120.0.0.0,,,02-02-2024 18:50:37,02-02-2024 18:50:38,1.022s,PASSED
"verifyAllLinksOnCurrentPageAccessible(false, [])",Chrome 120.0.0.0,,,02-02-2024 18:50:38,02-02-2024 18:50:48,10.752s,PASSED
delay(1),Chrome 120.0.0.0,,,02-02-2024 18:50:48,02-02-2024 18:50:50,1.077s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,02-02-2024 18:50:50,02-02-2024 18:50:50,0.043s,PASSED
,,,,,,,
Test Cases/TC_CURA_HOME/CURA_HOME_VALIDATEBUTTON,Chrome 120.0.0.0,,,02-02-2024 18:50:50,02-02-2024 18:50:58,8.094s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,02-02-2024 18:50:50,02-02-2024 18:50:50,0.097s,PASSED
"click(findTestObject(""Object Repository/Cura_Pages/CURA_HOME_OR/CURA_HOME_VALIDATEBUTTON_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,02-02-2024 18:50:50,02-02-2024 18:50:53,2.916s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Cura_Pages/CURA_HOME_OR/CURA_HOME_VALIDATEBUTTON_OR/Page_CURA Healthcare Service/p_Please login to make appointment""), 0)",Chrome 120.0.0.0,,,02-02-2024 18:50:53,02-02-2024 18:50:54,1.171s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Cura_Pages/CURA_HOME_OR/CURA_HOME_VALIDATEBUTTON_OR/Page_CURA Healthcare Service/button_Login""), 0)",Chrome 120.0.0.0,,,02-02-2024 18:50:54,02-02-2024 18:50:55,0.980s,PASSED
delay(2),Chrome 120.0.0.0,,,02-02-2024 18:50:55,02-02-2024 18:50:57,2.025s,PASSED
"out.println(""successfull"")",Chrome 120.0.0.0,,,02-02-2024 18:50:57,02-02-2024 18:50:58,0.166s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,02-02-2024 18:50:58,02-02-2024 18:50:58,0.055s,PASSED
