Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA_LOGIN,Firefox 85.0,,,02-02-2024 19:03:47,02-02-2024 19:05:36,1m - 48.631s,FAILED
,,,,,,,
Test Cases/TC_CURA_LOGIN/CURA_LOGIN_BYGLOBAL_001,Firefox 85.0,,,02-02-2024 19:04:14,02-02-2024 19:04:27,13.553s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 85.0,,,02-02-2024 19:04:14,02-02-2024 19:04:15,0.965s,PASSED
"click(findTestObject(""Cura_Pages/CURA_LOGIN_OR/CURA_LOGIN_LOGIN VALIDATION_OR/Page_CURA Healthcare Service/amenu-toggle""))",Firefox 85.0,,,02-02-2024 19:04:15,02-02-2024 19:04:16,0.941s,PASSED
"click(findTestObject(""Object Repository/Cura_Pages/CURA_LOGIN_OR/CURA_LOGIN_LOGIN VALIDATION_OR/Page_CURA Healthcare Service/a_Login""))",Firefox 85.0,,,02-02-2024 19:04:16,02-02-2024 19:04:17,0.916s,PASSED
"setText(findTestObject(""Object Repository/Cura_Pages/CURA_LOGIN_OR/CURA_LOGIN_LOGIN VALIDATION_OR/Page_CURA Healthcare Service/input_username""), user)",Firefox 85.0,,,02-02-2024 19:04:17,02-02-2024 19:04:19,1.285s,PASSED
"setText(findTestObject(""Object Repository/Cura_Pages/CURA_LOGIN_OR/CURA_LOGIN_LOGIN VALIDATION_OR/Page_CURA Healthcare Service/input_password""), pass)",Firefox 85.0,,,02-02-2024 19:04:19,02-02-2024 19:04:20,1.013s,PASSED
"click(findTestObject(""Object Repository/Cura_Pages/CURA_LOGIN_OR/CURA_LOGIN_LOGIN VALIDATION_OR/Page_CURA Healthcare Service/button_Login""))",Firefox 85.0,,,02-02-2024 19:04:20,02-02-2024 19:04:21,1.286s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Cura_Pages/CURA_LOGIN_OR/CURA_LOGIN_LOGIN VALIDATION_OR/Page_CURA Healthcare Service/h2_Make Appointment""), 0)",Firefox 85.0,,,02-02-2024 19:04:21,02-02-2024 19:04:21,0.400s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Cura_Pages/CURA_LOGIN_OR/CURA_LOGIN_LOGIN VALIDATION_OR/Page_CURA Healthcare Service/amenu-toggle""))",Firefox 85.0,,,02-02-2024 19:04:21,02-02-2024 19:04:22,0.397s,PASSED
"click(findTestObject(""Object Repository/Cura_Pages/CURA_LOGIN_OR/CURA_LOGIN_LOGIN VALIDATION_OR/Page_CURA Healthcare Service/amenu-toggle""))",Firefox 85.0,,,02-02-2024 19:04:22,02-02-2024 19:04:22,0.544s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Cura_Pages/CURA_LOGIN_OR/CURA_LOGIN_LOGIN VALIDATION_OR/Page_CURA Healthcare Service/a_History""))",Firefox 85.0,,,02-02-2024 19:04:22,02-02-2024 19:04:23,0.356s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Cura_Pages/CURA_LOGIN_OR/CURA_LOGIN_LOGIN VALIDATION_OR/Page_CURA Healthcare Service/a_Profile""))",Firefox 85.0,,,02-02-2024 19:04:23,02-02-2024 19:04:23,0.324s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Cura_Pages/CURA_LOGIN_OR/CURA_LOGIN_LOGIN VALIDATION_OR/Page_CURA Healthcare Service/a_Home""))",Firefox 85.0,,,02-02-2024 19:04:23,02-02-2024 19:04:23,0.330s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Cura_Pages/CURA_LOGIN_OR/CURA_LOGIN_LOGIN VALIDATION_OR/Page_CURA Healthcare Service/a_Logout""))",Firefox 85.0,,,02-02-2024 19:04:23,02-02-2024 19:04:24,0.350s,PASSED
"click(findTestObject(""Object Repository/Cura_Pages/CURA_LOGIN_OR/CURA_LOGIN_LOGIN VALIDATION_OR/Page_CURA Healthcare Service/a_Logout""))",Firefox 85.0,,,02-02-2024 19:04:24,02-02-2024 19:04:25,1.491s,PASSED
Start tear down : tearDownTestCase,Firefox 85.0,,,02-02-2024 19:04:25,02-02-2024 19:04:27,2.108s,PASSED
Start listener action : sampleAfterTestCase,Firefox 85.0,,,02-02-2024 19:04:27,02-02-2024 19:04:27,0.012s,PASSED
,,,,,,,
Test Cases/TC_CURA_LOGIN/CURA_LOGIN_DDT_002,Firefox 85.0,,,02-02-2024 19:04:27,02-02-2024 19:04:38,10.896s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 85.0,,,02-02-2024 19:04:28,02-02-2024 19:04:28,0.043s,PASSED
"click(findTestObject(""Object Repository/Cura_Pages/CURA_LOGIN_OR/CURA_LOGIN_LOGIN VALIDATION_OR/Page_CURA Healthcare Service/amenu-toggle""))",Firefox 85.0,,,02-02-2024 19:04:28,02-02-2024 19:04:30,1.753s,PASSED
"click(findTestObject(""Object Repository/Cura_Pages/CURA_LOGIN_OR/CURA_LOGIN_LOGIN VALIDATION_OR/Page_CURA Healthcare Service/a_Login""))",Firefox 85.0,,,02-02-2024 19:04:30,02-02-2024 19:04:31,0.865s,PASSED
